,origin,exchange
14,Oki Dokiポイントプログラム,デルタ航空
15,Oki Dokiポイントプログラム,楽天Edy
16,Oki Dokiポイントプログラム,カエトクカード
17,Oki Dokiポイントプログラム,大垣共立銀行
18,Oki Dokiポイントプログラム,スターバックス カード
19,Oki Dokiポイントプログラム,ANA SKYコイン
20,Oki Dokiポイントプログラム,スターフライヤー
21,Oki Dokiポイントプログラム,井筒屋
22,Oki Dokiポイントプログラム,Ponta
23,Oki Dokiポイントプログラム,WAONポイント
0,UC永久不滅ポイント,auポイント
1,UC永久不滅ポイント,dポイント
2,UC永久不滅ポイント,ビックカメラ
3,UC永久不滅ポイント,東京メトロ
4,UC永久不滅ポイント,ヤマダ電機
5,UC永久不滅ポイント,nanacoポイント
6,UC永久不滅ポイント,ANA
7,UC永久不滅ポイント,JTBトラベルポイント
8,UC永久不滅ポイント,楽天
9,UC永久不滅ポイント,ANA SKYコイン
10,UC永久不滅ポイント,Ponta
11,UC永久不滅ポイント,.money
0,DCハッピープレゼント,JAL
1,DCハッピープレゼント,auポイント
2,DCハッピープレゼント,dポイント
3,DCハッピープレゼント,Tポイント
4,DCハッピープレゼント,楽天
5,DCハッピープレゼント,ノジマ
6,DCハッピープレゼント,東急
7,DCハッピープレゼント,ヨドバシカメラ
8,DCハッピープレゼント,MUFGカード
9,DCハッピープレゼント,LuLuCaポイント
10,DCハッピープレゼント,Amazonギフト券
11,DCハッピープレゼント,Apple Gift Card
12,DCハッピープレゼント,nanacoポイント
13,DCハッピープレゼント,ベルメゾン
14,DCハッピープレゼント,Ponta
15,DCハッピープレゼント,中部電力
16,DCハッピープレゼント,WAONポイント
0,スマイルポイントプログラム,MUFGカード
0,わいわいプレゼント,JAL
1,わいわいプレゼント,楽天
2,わいわいプレゼント,ベルメゾン
3,わいわいプレゼント,dポイント
4,わいわいプレゼント,auポイント
5,わいわいプレゼント,キャセイパシフィック航空
6,わいわいプレゼント,東京メトロ
7,わいわいプレゼント,MUFGカード
8,わいわいプレゼント,Tポイント
9,わいわいプレゼント,ビックカメラ
10,わいわいプレゼント,nanacoポイント
11,わいわいプレゼント,Amazonギフト券
12,わいわいプレゼント,Apple Gift Card
13,わいわいプレゼント,Ponta
14,わいわいプレゼント,WAONポイント
0,ゴールドポイントプログラム,JAL
1,ゴールドポイントプログラム,楽天
2,ゴールドポイントプログラム,ベルメゾン
3,ゴールドポイントプログラム,dポイント
4,ゴールドポイントプログラム,auポイント
5,ゴールドポイントプログラム,キャセイパシフィック航空
6,ゴールドポイントプログラム,MUFGカード
7,ゴールドポイントプログラム,Tポイント
8,ゴールドポイントプログラム,ビックカメラ
9,ゴールドポイントプログラム,nanacoポイント
10,ゴールドポイントプログラム,Amazonギフト券
11,ゴールドポイントプログラム,Apple Gift Card
12,ゴールドポイントプログラム,Ponta
13,ゴールドポイントプログラム,WAONポイント
0,NICOSスマイルクラブ,None
0,暮らスマイル,ちょコムポイント
1,暮らスマイル,ベルメゾン
2,暮らスマイル,オリコポイント
0,ラブリィプレゼント,ANA
1,ラブリィプレゼント,auポイント
2,ラブリィプレゼント,Gポイント
3,ラブリィプレゼント,dポイント
4,ラブリィプレゼント,楽天
5,ラブリィプレゼント,Tポイント
6,ラブリィプレゼント,ベルメゾン
7,ラブリィプレゼント,JAL
8,ラブリィプレゼント,nanacoポイント
9,ラブリィプレゼント,Ponta
10,ラブリィプレゼント,ANA SKYコイン
11,ラブリィプレゼント,Amazonギフト券
0,LIFEサンクスプレゼント,ANA
1,LIFEサンクスプレゼント,Gポイント
2,LIFEサンクスプレゼント,dポイント
3,LIFEサンクスプレゼント,auポイント
4,LIFEサンクスプレゼント,楽天
5,LIFEサンクスプレゼント,ベルメゾン
6,LIFEサンクスプレゼント,Amazonギフト券
7,LIFEサンクスプレゼント,Ponta
0,メンバーシップ・リワード,ANA
1,メンバーシップ・リワード,JAL
2,メンバーシップ・リワード,チャイナエアライン
3,メンバーシップ・リワード,デルタ航空
4,メンバーシップ・リワード,ヴァージン アトランティック航空
5,メンバーシップ・リワード,タイ国際航空
6,メンバーシップ・リワード,キャセイパシフィック航空
7,メンバーシップ・リワード,シンガポール航空
8,メンバーシップ・リワード,ヒルトン
9,メンバーシップ・リワード,スターウッド
10,メンバーシップ・リワード,楽天
11,メンバーシップ・リワード,WebMoney
12,メンバーシップ・リワード,Tポイント
13,メンバーシップ・リワード,ブリティッシュ・エアウェイズ
14,メンバーシップ・リワード,エティハド航空
15,メンバーシップ・リワード,エミレーツ航空
16,メンバーシップ・リワード,エールフランス航空/KLMオランダ航空
17,メンバーシップ・リワード,カタール航空
18,メンバーシップ・リワード,Apple Gift Card
19,メンバーシップ・リワード,Amazonギフト券
20,メンバーシップ・リワード,.money
21,メンバーシップ・リワード,カンタス航空
0,ダイナースクラブ リワードプログラム,ANA
1,ダイナースクラブ リワードプログラム,ユナイテッド航空
2,ダイナースクラブ リワードプログラム,デルタ航空
3,ダイナースクラブ リワードプログラム,大韓航空
4,ダイナースクラブ リワードプログラム,Amazonギフト券
5,ダイナースクラブ リワードプログラム,WebMoney
6,ダイナースクラブ リワードプログラム,楽天
7,ダイナースクラブ リワードプログラム,ANA SKYコイン
8,ダイナースクラブ リワードプログラム,スターバックス カード
9,ダイナースクラブ リワードプログラム,Apple Gift Card
10,ダイナースクラブ リワードプログラム,Tポイント
11,ダイナースクラブ リワードプログラム,JAL
0,永久不滅ポイント,JAL
1,永久不滅ポイント,dポイント
2,永久不滅ポイント,auポイント
3,永久不滅ポイント,ヤマダ電機
4,永久不滅ポイント,ANA
5,永久不滅ポイント,ベルメゾン
6,永久不滅ポイント,Amazonギフト券
7,永久不滅ポイント,WebMoney
8,永久不滅ポイント,nanacoポイント
9,永久不滅ポイント,西武
10,永久不滅ポイント,JTBトラベルポイント
11,永久不滅ポイント,マネックス証券
12,永久不滅ポイント,楽天
13,永久不滅ポイント,ビックカメラ
14,永久不滅ポイント,Suica
15,永久不滅ポイント,ANA SKYコイン
16,永久不滅ポイント,Ponta
17,永久不滅ポイント,無印良品
18,永久不滅ポイント,スターバックス カード
19,永久不滅ポイント,.money
20,永久不滅ポイント,JRキューポ
0,Gポイント,ANA
1,Gポイント,Amazonギフト券
2,Gポイント,上新電機
3,Gポイント,dポイント
4,Gポイント,セシール
5,Gポイント,ベルメゾン
6,Gポイント,スターバックス カード
7,Gポイント,GDO
8,Gポイント,三井住友カード
9,Gポイント,マイ・グリーンスタンプ
10,Gポイント,楽天Edy
11,Gポイント,現金（楽天銀行）
12,Gポイント,ソフマップ
13,Gポイント,WebMoney
14,Gポイント,auポイント
15,Gポイント,PiTaPa
16,Gポイント,現金（PayPay銀行）
17,Gポイント,WAONポイント
18,Gポイント,ビックカメラ
19,Gポイント,Tポイント
20,Gポイント,カエトクカード
21,Gポイント,nimocaポイント
22,Gポイント,nanacoポイント
23,Gポイント,iDバリュー
24,Gポイント,JAL
25,Gポイント,Sポイント
26,Gポイント,Apple Gift Card
27,Gポイント,ANA SKYコイン
28,Gポイント,リクルート
29,Gポイント,Ponta
30,Gポイント,ANA VISA（マスター）カード（ボーナス）
31,Gポイント,タリーズカード
32,Gポイント,JRキューポ
33,Gポイント,NET CASH
34,Gポイント,LINEポイント
0,ネットマイル,アメリカン航空
1,ネットマイル,dポイント
2,ネットマイル,auポイント
3,ネットマイル,スターバックス カード
4,ネットマイル,ベルメゾン
5,ネットマイル,セシール
6,ネットマイル,ANA
7,ネットマイル,ナチュラム
8,ネットマイル,現金（楽天銀行）
9,ネットマイル,現金（PayPay銀行）
10,ネットマイル,キャセイパシフィック航空
11,ネットマイル,楽天Edy
12,ネットマイル,ユナイテッド航空
13,ネットマイル,ソフマップ
14,ネットマイル,ちょコムeマネー
15,ネットマイル,Amazonギフト券
16,ネットマイル,Tポイント
17,ネットマイル,現金（住信SBIネット銀行）
18,ネットマイル,JAL
19,ネットマイル,西武
20,ネットマイル,nanacoポイント
21,ネットマイル,Apple Gift Card
22,ネットマイル,ANA SKYコイン
23,ネットマイル,BEAM
24,ネットマイル,リクルート
25,ネットマイル,スターフライヤー
26,ネットマイル,Ponta
27,ネットマイル,LINEギフトコード
28,ネットマイル,WebMoney
29,ネットマイル,WAONポイント
30,ネットマイル,gooポイント
31,ネットマイル,LINEポイント
0,GSポイント,JAL
1,GSポイント,Gポイント
2,GSポイント,楽天Edy
3,GSポイント,WebMoney
4,GSポイント,PiTaPa
5,GSポイント,nimocaポイント
6,GSポイント,Amazonギフト券
7,GSポイント,.money
0,アウトレット・ポイント,JAL
0,ビックポイントサービス,Suica
1,ビックポイントサービス,J-WESTカード
2,ビックポイントサービス,ソフマップ
3,ビックポイントサービス,JAL
4,ビックポイントサービス,コジマ
5,ビックポイントサービス,JRキューポ
0,Joshinポイント,None
0,楽天ポイント,ANA
1,楽天ポイント,楽天Edy
2,楽天ポイント,JAL
0,Yahoo!ポイント,None
0,セシールスマイルポイント,ANA
1,セシールスマイルポイント,Gポイント
2,セシールスマイルポイント,ネットマイル
3,セシールスマイルポイント,gooポイント
4,セシールスマイルポイント,dポイント
5,セシールスマイルポイント,エルネ
0,ベルメゾン・ポイント,None
0,ナチュラムマイレージポイント,ネットマイル
0,GDOポイント,None
0,Amazonギフト券,None
0,ティーポイント,ANA
1,ティーポイント,現金（PayPay銀行）
2,ティーポイント,中部電力
3,ティーポイント,JRキューポ
0,電子ポイント,None
0,hontoポイント,None
0,dポイントクラブ,JAL
0,auポイントプログラム,Ponta
1,auポイントプログラム,スターバックス カード
2,auポイントプログラム,マツモトキヨシ
0,gooポイント（旧ポイントーク）,楽天
1,gooポイント（旧ポイントーク）,ANA
2,gooポイント（旧ポイントーク）,JAL
3,gooポイント（旧ポイントーク）,セシール
4,gooポイント（旧ポイントーク）,ビックカメラ
5,gooポイント（旧ポイントーク）,dポイント
6,gooポイント（旧ポイントーク）,ちょコムポイント
7,gooポイント（旧ポイントーク）,Amazonギフト券
8,gooポイント（旧ポイントーク）,楽天Edy
9,gooポイント（旧ポイントーク）,nanaco
10,gooポイント（旧ポイントーク）,Apple Gift Card
11,gooポイント（旧ポイントーク）,東京メトロ
12,gooポイント（旧ポイントーク）,ネットマイル
13,gooポイント（旧ポイントーク）,LINEポイント
0,@NIFTYポイント,None
0,ソネットポイント,JAL
1,ソネットポイント,ANA
2,ソネットポイント,ソニー
3,ソネットポイント,auポイント
4,ソネットポイント,Ponta
5,ソネットポイント,dポイント
6,ソネットポイント,楽天
0,プラスポイントサービス,ANA
1,プラスポイントサービス,dポイント
2,プラスポイントサービス,JAL
3,プラスポイントサービス,楽天
0,た～まるコース,ANA
1,た～まるコース,dポイント
2,た～まるコース,JAL
3,た～まるコース,楽天
0,ポイントプログラム,None
0,コスモ・ガソリンマイレージ（コスモ・ザ・カード）,楽天Edy
0,ポイントサービス（タカシマヤカード）,ANA
0,ポイントサービス,JAL
0,TOKYUポイント,JAL
1,TOKYUポイント,PASMO
2,TOKYUポイント,Suica
3,TOKYUポイント,NEXCO中日本
4,TOKYUポイント,ANA
0,ときめきポイント,JAL
1,ときめきポイント,dポイント
2,ときめきポイント,Suica
3,ときめきポイント,WAONポイント
4,ときめきポイント,NEXCO東日本
5,ときめきポイント,JRキューポ
0,わくわくポイント,JAL
1,わくわくポイント,dポイント
2,わくわくポイント,auポイント
3,わくわくポイント,現金（楽天銀行）
4,わくわくポイント,Amazonギフト券
5,わくわくポイント,Gポイント
6,わくわくポイント,Ponta
7,わくわくポイント,nanacoポイント
8,わくわくポイント,現金（PayPay銀行）
9,わくわくポイント,現金（住信SBIネット銀行）
10,わくわくポイント,nanaco
0,Pontaポイント,JAL
1,Pontaポイント,au WALLET
2,Pontaポイント,マツモトキヨシ
3,Pontaポイント,LINEポイント
4,Pontaポイント,WebMoney
5,Pontaポイント,中部電力
0,三菱東京ＵＦＪポイント,ネットマイル
1,三菱東京ＵＦＪポイント,auポイント
2,三菱東京ＵＦＪポイント,楽天
3,三菱東京ＵＦＪポイント,Tポイント
4,三菱東京ＵＦＪポイント,JAL
5,三菱東京ＵＦＪポイント,ノジマ
6,三菱東京ＵＦＪポイント,東急
7,三菱東京ＵＦＪポイント,ヨドバシカメラ
8,三菱東京ＵＦＪポイント,Suica
9,三菱東京ＵＦＪポイント,近鉄電車
10,三菱東京ＵＦＪポイント,Sポイント
11,三菱東京ＵＦＪポイント,ソフトバンク
12,三菱東京ＵＦＪポイント,dポイント
13,三菱東京ＵＦＪポイント,nanacoポイント
14,三菱東京ＵＦＪポイント,ベルメゾン
15,三菱東京ＵＦＪポイント,Ponta
16,三菱東京ＵＦＪポイント,WAONポイント
0,Vポイント（旧SMBCポイント）,三井住友カード
1,Vポイント（旧SMBCポイント）,ANA VISA（マスター）カード（ボーナス）
0,マネックスポイント,ANA
1,マネックスポイント,Tポイント
2,マネックスポイント,nanacoポイント
3,マネックスポイント,JAL
4,マネックスポイント,WAONポイント
5,マネックスポイント,dポイント
6,マネックスポイント,Amazonギフト券
7,マネックスポイント,Ponta
0,楽天証券ポイント,楽天
1,楽天証券ポイント,JAL
0,JRE POINT,JAL
1,JRE POINT,Suica
2,JRE POINT,ビックカメラ
0,はぴeポイントクラブ,ANA
1,はぴeポイントクラブ,PiTaPa
2,はぴeポイントクラブ,楽天
3,はぴeポイントクラブ,ベルメゾン
4,はぴeポイントクラブ,カエトクカード
5,はぴeポイントクラブ,nanacoポイント
6,はぴeポイントクラブ,Sポイント
7,はぴeポイントクラブ,WAONポイント
8,はぴeポイントクラブ,Ponta
9,はぴeポイントクラブ,dポイント
10,はぴeポイントクラブ,Tポイント
0,スターバックス カード,None
0,マツキヨポイント,ANA
1,マツキヨポイント,マイ・グリーンスタンプ
2,マツキヨポイント,楽天Edy
3,マツキヨポイント,楽天
4,マツキヨポイント,dポイント
5,マツキヨポイント,近畿日本ツーリスト
6,マツキヨポイント,Gポイント
7,マツキヨポイント,ぐるなび
8,マツキヨポイント,JAL
0,オンライン商品券,None
0,Suica,None
0,楽天Edy,None
0,ショップ de ポイント,ANA
1,ショップ de ポイント,JAL
0,現金,None
0,現金,None
0,りそなクラブポイント,セブンカード／アイワイカード
1,りそなクラブポイント,dポイント
2,りそなクラブポイント,Tポイント
3,りそなクラブポイント,上新電機
4,りそなクラブポイント,高島屋
5,りそなクラブポイント,JAL
6,りそなクラブポイント,ヨドバシカメラ
7,りそなクラブポイント,楽天
8,りそなクラブポイント,auポイント
9,りそなクラブポイント,WAONポイント
10,りそなクラブポイント,nanacoポイント
11,りそなクラブポイント,楽天Edy
12,りそなクラブポイント,OSAKA PiTaPa
13,りそなクラブポイント,ANA
14,りそなクラブポイント,埼玉りそな銀行
15,りそなクラブポイント,関西みらい銀行
16,りそなクラブポイント,Ponta
17,りそなクラブポイント,近鉄電車
18,りそなクラブポイント,ビックカメラ
19,りそなクラブポイント,ベルメゾン
20,りそなクラブポイント,スターバックス カード
21,りそなクラブポイント,LINEポイント
0,セブンカードのポイント,ANA
1,セブンカードのポイント,nanacoポイント
0,ヨドバシカメラゴールドポイント,None
0,ヤマダポイント,ベルメゾン
1,ヤマダポイント,ANA
2,ヤマダポイント,ANA SKYコイン
0,ノジマスーパーポイント,None
0,ヒルトン・オナーズポイント,JAL
1,ヒルトン・オナーズポイント,ANA
2,ヒルトン・オナーズポイント,アメリカン航空
3,ヒルトン・オナーズポイント,ヴァージン アトランティック航空
4,ヒルトン・オナーズポイント,キャセイパシフィック航空
5,ヒルトン・オナーズポイント,コンチネンタル航空
6,ヒルトン・オナーズポイント,シンガポール航空
7,ヒルトン・オナーズポイント,タイ国際航空
8,ヒルトン・オナーズポイント,チャイナエアライン
9,ヒルトン・オナーズポイント,デルタ航空
10,ヒルトン・オナーズポイント,エールフランス航空/KLMオランダ航空
11,ヒルトン・オナーズポイント,エアチャイナ
12,ヒルトン・オナーズポイント,カンタス航空
13,ヒルトン・オナーズポイント,ルフトハンザ
14,ヒルトン・オナーズポイント,ブリティッシュ・エアウェイズ
15,ヒルトン・オナーズポイント,カタール航空
16,ヒルトン・オナーズポイント,エティハド航空
0,スターポイント,ANA
1,スターポイント,アメリカン航空
2,スターポイント,キャセイパシフィック航空
3,スターポイント,JAL
4,スターポイント,デルタ航空
5,スターポイント,タイ国際航空
6,スターポイント,ユナイテッド航空
7,スターポイント,ヴァージン アトランティック航空
8,スターポイント,アシアナ航空
9,スターポイント,エールフランス航空/KLMオランダ航空
10,スターポイント,エアチャイナ
11,スターポイント,中国南方航空
12,スターポイント,ルフトハンザ
13,スターポイント,中国東方航空
14,スターポイント,ブリティッシュ・エアウェイズ
15,スターポイント,カタール航空
16,スターポイント,エティハド航空
17,スターポイント,エミレーツ航空
18,スターポイント,マリオット
0,IHGリワーズクラブ,アメリカン航空
1,IHGリワーズクラブ,アシアナ航空
2,IHGリワーズクラブ,デルタ航空
3,IHGリワーズクラブ,JAL
4,IHGリワーズクラブ,ユナイテッド航空
5,IHGリワーズクラブ,キャセイパシフィック航空
6,IHGリワーズクラブ,タイ国際航空
7,IHGリワーズクラブ,ANA
8,IHGリワーズクラブ,シンガポール航空
9,IHGリワーズクラブ,エールフランス航空/KLMオランダ航空
10,IHGリワーズクラブ,エアチャイナ
11,IHGリワーズクラブ,中国東方航空
12,IHGリワーズクラブ,中国南方航空
13,IHGリワーズクラブ,ルフトハンザ
14,IHGリワーズクラブ,カンタス航空
15,IHGリワーズクラブ,エティハド航空
0,ハイアット ゴールド パスポート,ANA
1,ハイアット ゴールド パスポート,アメリカン航空
2,ハイアット ゴールド パスポート,キャセイパシフィック航空
3,ハイアット ゴールド パスポート,チャイナエアライン
4,ハイアット ゴールド パスポート,コンチネンタル航空
5,ハイアット ゴールド パスポート,デルタ航空
6,ハイアット ゴールド パスポート,タイ国際航空
7,ハイアット ゴールド パスポート,ユナイテッド航空
8,ハイアット ゴールド パスポート,ヴァージン アトランティック航空
9,ハイアット ゴールド パスポート,JAL
10,ハイアット ゴールド パスポート,シンガポール航空
11,ハイアット ゴールド パスポート,アシアナ航空
12,ハイアット ゴールド パスポート,エールフランス航空/KLMオランダ航空
13,ハイアット ゴールド パスポート,エアチャイナ
14,ハイアット ゴールド パスポート,中国東方航空
15,ハイアット ゴールド パスポート,カンタス航空
16,ハイアット ゴールド パスポート,ルフトハンザ
17,ハイアット ゴールド パスポート,大韓航空
18,ハイアット ゴールド パスポート,ブリティッシュ・エアウェイズ
19,ハイアット ゴールド パスポート,カタール航空
20,ハイアット ゴールド パスポート,エティハド航空
21,ハイアット ゴールド パスポート,エミレーツ航空
0,JTBトラベルポイント,JAL
1,JTBトラベルポイント,三越伊勢丹
0,KNTポイント,None
0,旅ぷらざポイント,None
0,BRポイント,None
0,リクルートポイント,無印良品
1,リクルートポイント,Ponta
0,ぐるなびスーパー「ぐ」ポイント,楽天
0,とっておきプレゼント,dポイント
1,とっておきプレゼント,auポイント
2,とっておきプレゼント,JAL
3,とっておきプレゼント,ネットマイル
4,とっておきプレゼント,ANA
5,とっておきプレゼント,カエトクカード
6,とっておきプレゼント,PeX
7,とっておきプレゼント,ちょびリッチ
8,とっておきプレゼント,Amazonギフト券
9,とっておきプレゼント,ANA SKYコイン
10,とっておきプレゼント,Ponta
0,点でうれしいプレゼント,楽天
1,点でうれしいプレゼント,ANA
2,点でうれしいプレゼント,dポイント
3,点でうれしいプレゼント,auポイント
4,点でうれしいプレゼント,Ponta
5,点でうれしいプレゼント,Amazonギフト券
0,ワンダフルプレゼント21,dポイント
1,ワンダフルプレゼント21,auポイント
2,ワンダフルプレゼント21,コスモ石油
3,ワンダフルプレゼント21,JAL
4,ワンダフルプレゼント21,楽天
5,ワンダフルプレゼント21,ベルメゾン
6,ワンダフルプレゼント21,Tポイント
7,ワンダフルプレゼント21,Ponta
8,ワンダフルプレゼント21,nanacoポイント
9,ワンダフルプレゼント21,nanaco
0,ショッピングポイント,None
0,ソニーポイント,None
0,ダイワポイントプログラム,ANA
1,ダイワポイントプログラム,三井住友カード
2,ダイワポイントプログラム,JAL
3,ダイワポイントプログラム,ANA VISA（マスター）カード（ボーナス）
0,KARUWAZA CLUB,None
0,エルネ,Amazonギフト券
1,エルネ,Gポイント
2,エルネ,上新電機
3,エルネ,セシール
4,エルネ,PeX
5,エルネ,ベルメゾン
6,エルネ,.money
7,エルネ,honto
8,エルネ,現金（楽天銀行）
0,ちょびリッチポイント,楽天Edy
1,ちょびリッチポイント,Amazonギフト券
2,ちょびリッチポイント,Gポイント
3,ちょびリッチポイント,現金（楽天銀行）
4,ちょびリッチポイント,現金（PayPay銀行）
5,ちょびリッチポイント,WebMoney
6,ちょびリッチポイント,PeX
7,ちょびリッチポイント,ちょコムポイント
8,ちょびリッチポイント,ベルメゾン
9,ちょびリッチポイント,ビックカメラ
10,ちょびリッチポイント,Tポイント
11,ちょびリッチポイント,nanaco
12,ちょびリッチポイント,ANA
13,ちょびリッチポイント,カエトクカード
14,ちょびリッチポイント,現金（住信SBIネット銀行）
15,ちょびリッチポイント,JAL
16,ちょびリッチポイント,Apple Gift Card
17,ちょびリッチポイント,.money
18,ちょびリッチポイント,BitCash
19,ちょびリッチポイント,NET CASH
20,ちょびリッチポイント,dポイント
0,マクロミルポイント,現金（楽天銀行）
1,マクロミルポイント,現金（PayPay銀行）
2,マクロミルポイント,PeX
3,マクロミルポイント,Amazonギフト券
4,マクロミルポイント,Gポイント
5,マクロミルポイント,Tポイント
0,CMポイント,現金（PayPay銀行）
1,CMポイント,現金（楽天銀行）
2,CMポイント,Tポイント
3,CMポイント,ベルメゾン
4,CMポイント,楽天
5,CMポイント,.money
6,CMポイント,クレディセゾン
7,CMポイント,Ponta
0,colleeeポイント（予想ネットポイント）,現金（楽天銀行）
1,colleeeポイント（予想ネットポイント）,現金（PayPay銀行）
2,colleeeポイント（予想ネットポイント）,楽天Edy
3,colleeeポイント（予想ネットポイント）,コスモ石油
4,colleeeポイント（予想ネットポイント）,Amazonギフト券
5,colleeeポイント（予想ネットポイント）,WebMoney
6,colleeeポイント（予想ネットポイント）,PeX
7,colleeeポイント（予想ネットポイント）,セシール
8,colleeeポイント（予想ネットポイント）,ベルメゾン
9,colleeeポイント（予想ネットポイント）,Tポイント
10,colleeeポイント（予想ネットポイント）,現金（住信SBIネット銀行）
11,colleeeポイント（予想ネットポイント）,nanacoポイント
12,colleeeポイント（予想ネットポイント）,Apple Gift Card
13,colleeeポイント（予想ネットポイント）,.money
0,わくわくポイント,None
0,へそクリックポイント,None
0,Oki Dokiポイントプログラム（ANA JCBカード）,ANA
1,Oki Dokiポイントプログラム（ANA JCBカード）,dポイント
2,Oki Dokiポイントプログラム（ANA JCBカード）,auポイント
3,Oki Dokiポイントプログラム（ANA JCBカード）,上新電機
4,Oki Dokiポイントプログラム（ANA JCBカード）,楽天
5,Oki Dokiポイントプログラム（ANA JCBカード）,ビックカメラ
6,Oki Dokiポイントプログラム（ANA JCBカード）,ベルメゾン
7,Oki Dokiポイントプログラム（ANA JCBカード）,セシール
8,Oki Dokiポイントプログラム（ANA JCBカード）,nanacoポイント
9,Oki Dokiポイントプログラム（ANA JCBカード）,JTBトラベルポイント
10,Oki Dokiポイントプログラム（ANA JCBカード）,ちょコムポイント
11,Oki Dokiポイントプログラム（ANA JCBカード）,楽天Edy
12,Oki Dokiポイントプログラム（ANA JCBカード）,カエトクカード
13,Oki Dokiポイントプログラム（ANA JCBカード）,東京メトロ
14,Oki Dokiポイントプログラム（ANA JCBカード）,スターバックス カード
15,Oki Dokiポイントプログラム（ANA JCBカード）,ANA SKYコイン
16,Oki Dokiポイントプログラム（ANA JCBカード）,Ponta
17,Oki Dokiポイントプログラム（ANA JCBカード）,WAONポイント
0,Vポイント（ANA VISA（マスター）カード）,ANA
1,Vポイント（ANA VISA（マスター）カード）,Tポイント
2,Vポイント（ANA VISA（マスター）カード）,楽天
3,Vポイント（ANA VISA（マスター）カード）,Gポイント
